轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
15.64,244,6.26,6.27,6.27,18,13,12,16.24,-21.3,0.12,0.04,208.6,9.8,154,1,3,1065,700,1293,3,1334,15.82,1150.8,807,31.0,32.5,1.4,2.7,1327.8,0,15.7,1.2,51.0,49.7,53.4,49.0,51.4,51.6,42.5,42.6,61.4,60.8,24,29,18.5,20.2,37,38,36,0,0,0,6,6,4,0,18,18,18,38,46,41,29,29,31,44.92,44.67,45.18,46,470,4.8,0,0,0
16.25,208,7.49,7.5,7.49,18,16,17,16.8,-13.4,0.19,-0.01,208.7,11.5,150,1,3,1288,700,1564,0,1618,16.33,1385.6,946,30.5,30.9,1.4,2.7,1607.0,0,16.14,1.2,51.6,50.2,53.9,49.4,52.0,52.1,42.7,42.9,61.5,60.7,25,29,18.5,20.3,38,39,36,0,0,0,6,6,4,0,18,18,18,38,46,41,29,29,31,44.92,44.67,45.18,46,460,4.8,0,0,0
15.72,132,9.14,9.14,9.14,16,16,15,16.48,-4.8,0.11,0.02,208.6,11.2,145,1,3,1065,701,1294,0,1346,15.99,1146.5,803,30.9,31.0,1.5,2.8,1327.8,0,15.7,1.2,51.0,49.6,53.1,48.8,51.5,51.5,42.1,42.5,61.5,60.7,24,29,18.3,20.2,37,38,36,0,0,0,6,6,4,0,18,18,18,38,46,41,29,29,31,44.92,44.67,45.18,46,460,4.7,0,0,0
15.71,4,9.44,9.45,9.45,12,14,13,16.36,-5.8,0.1,-0.04,209.0,8.8,146,1,3,1065,700,1292,-4,1336,15.89,1149.3,806,29.2,30.7,1.4,2.7,1327.8,0,15.7,1.2,50.8,49.4,52.9,48.6,51.2,51.3,42.2,42.3,61.5,60.8,24,29,18.3,20.2,35,37,36,0,0,0,6,6,4,0,18,18,18,37,46,40,29,29,31,44.92,44.67,45.18,46,460,4.7,0,0,0
15.77,256,10.13,10.13,10.14,13,13,13,16.38,-11.8,0.15,-0.04,209.1,9.8,150,1,3,1068,699,1296,4,1345,15.95,1147.8,806,33.0,33.5,1.4,2.8,1327.8,0,15.7,1.2,51.0,49.7,53.3,48.8,51.5,51.6,42.4,42.5,61.5,60.7,24,29,18.3,20.2,39,41,36,0,0,0,6,6,4,0,18,18,18,38,46,41,29,29,31,44.92,44.67,45.18,46,460,4.7,0,0,0
16.47,264,4.76,4.76,4.76,10,10,10,17.07,-3.2,0.11,-0.07,208.8,9.2,145,1,3,1296,700,1574,6,1640,16.62,1386.1,943,33.0,34.0,1.4,2.7,1607.0,0,16.14,1.2,52.3,50.9,54.5,50.1,52.8,52.8,43.2,43.5,61.5,60.7,25,29,18.5,20.3,41,42,36,0,0,0,6,6,4,0,18,18,18,38,46,41,29,29,31,44.92,44.67,45.18,47,470,4.8,0,0,0
15.23,264,6.77,6.77,6.77,13,14,13,15.8,-3.6,0.08,0.01,208.7,8.4,145,1,3,1034,698,1252,2,1304,15.32,1153.3,816,31.8,31.9,1.4,2.7,1327.8,0,15.7,1.2,50.9,49.7,53.2,48.6,51.5,51.5,42.7,42.6,61.5,60.8,25,29,18.3,20.2,38,39,36,0,0,0,6,6,4,0,18,18,18,38,46,41,29,29,31,44.92,44.66,45.18,46,470,4.7,0,0,0
16.25,356,7.18,7.19,7.18,18,17,16,16.8,-11.5,0.24,0.01,208.8,11.1,148,1,3,1286,700,1561,3,1624,16.33,1386.9,949,30.3,30.9,1.4,2.7,1607.0,0,16.14,1.2,51.5,50.1,53.8,49.3,51.9,52.0,42.8,42.8,61.5,60.7,25,29,18.5,20.3,38,39,36,0,0,0,6,6,4,0,18,18,18,38,46,41,29,29,31,44.92,44.67,45.18,46,470,4.7,0,0,0
15.98,208,11.13,11.14,11.14,13,14,12,16.47,-3.1,0.31,0.11,209.3,12.4,146,1,3,1073,700,1302,-2,1348,16.07,1146.7,802,29.7,30.6,1.4,2.8,1327.8,0,15.7,1.2,50.9,49.6,53.1,48.5,51.4,51.5,42.2,42.5,61.5,60.8,25,29,18.4,20.2,36,37,36,0,0,0,6,6,4,0,18,18,18,38,46,40,29,29,31,44.92,44.67,45.18,46,460,4.7,0,0,0
15.54,176,7.76,7.76,7.77,15,13,15,16.18,-13.1,0.24,0.02,209.0,8.7,151,1,3,1060,700,1286,1,1333,15.75,1149.5,808,32.2,33.4,1.4,2.7,1327.8,0,15.7,1.2,51.0,49.7,53.4,48.8,51.5,51.6,42.4,42.5,61.5,60.8,25,29,18.4,20.2,39,40,36,0,0,0,6,6,4,0,18,18,18,38,46,41,29,29,31,44.92,44.67,45.18,46,470,4.8,0,0,0
