轮毂转速,轮毂角度,叶片1角度,叶片2角度,叶片3角度,变桨电机1电流,变桨电机2电流,变桨电机3电流,超速传感器转速检测值,5秒偏航对风平均值,x方向振动值,y方向振动值,液压制动压力,机舱气象站风速,风向绝对值,大气压力,无功功率控制状态,变频器电网侧电流,变频器电网侧电压,变频器电网侧有功功率,变频器电网侧无功功率,变频器发电机侧功率,发电机运行频率,发电机电流,发电机转矩,变频器入口温度,变频器出口温度,变频器入口压力,变频器出口压力,发电机功率限幅值,无功功率设定值,额定的轮毂转速,测风塔环境温度,发电机定子温度1,发电机定子温度2,发电机定子温度3,发电机定子温度4,发电机定子温度5,发电机定子温度6,发电机空气温度1,发电机空气温度2,主轴承温度1,主轴承温度2,轮毂温度,轮毂控制柜温度,机舱温度,机舱控制柜温度,变频器INU温度,变频器ISU温度,变频器INU RMIO温度,变桨电机1功率估算,变桨电机2功率估算,变桨电机3功率估算,风机当前状态值,轮毂当前状态值,偏航状态值,偏航要求值,叶片1电池箱温度,叶片2电池箱温度,叶片3电池箱温度,叶片1变桨电机温度,叶片2变桨电机温度,叶片3变桨电机温度,叶片1变频器箱温度,叶片2变频器箱温度,叶片3变频器箱温度,叶片1超级电容电压,叶片2超级电容电压,叶片3超级电容电压,驱动1晶闸管温度,驱动2晶闸管温度,驱动3晶闸管温度,驱动1输出扭矩,驱动2输出扭矩,驱动3输出扭矩
17.02,288.0,7.94,7.99,7.96,12.0,21.0,16.0,17.63,-5.2,0.01,0.1,204.7,13.8,139.0,1.0,3.0,1732.0,704.0,2114.0,2.0,2201.0,17.18,1999.1,1223.0,31.3,33.9,1.4,2.7,2180.0,0.0,17.0,11.3,101.3,98.3,103.4,99.3,100.1,102.2,70.7,90.1,65.8,65.3,32.0,37.0,22.8,26.7,42.0,43.0,45.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,27.0,26.0,42.0,42.0,47.0,37.0,37.0,39.0,44.89,44.63,45.12,55.0,560.0,5.9,0.0,0.0,0.0
17.0,56.0,8.76,8.81,8.78,16.0,13.0,17.0,17.73,-4.1,0.14,-0.07,204.5,14.2,139.0,1.0,3.0,1740.0,704.0,2124.0,1.0,2206.0,17.3,2003.5,1218.0,31.2,33.8,1.4,2.7,2180.0,0.0,17.0,11.2,101.3,98.2,103.5,99.7,100.0,102.2,70.4,90.2,65.9,65.3,31.0,37.0,22.8,26.7,43.0,43.0,45.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,27.0,26.0,42.0,42.0,47.0,37.0,37.0,39.0,44.89,44.63,45.12,55.0,570.0,5.9,0.0,0.0,0.0
16.8,312.0,10.04,10.09,10.06,12.0,16.0,13.0,17.42,-4.4,0.04,0.09,204.7,15.6,135.0,1.0,3.0,1539.0,706.0,1886.0,-2.0,1956.0,16.93,1735.2,1103.0,32.4,34.0,1.5,2.7,1937.4,0.0,16.64,11.4,101.3,98.2,103.5,99.5,99.9,102.2,70.6,90.1,65.9,65.3,31.0,37.0,22.8,26.7,43.0,43.0,45.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,27.0,26.0,42.0,42.0,46.0,37.0,37.0,39.0,44.89,44.63,45.11,55.0,560.0,5.9,0.0,0.0,0.0
16.94,96.0,7.58,7.63,7.6,10.0,10.0,10.0,17.63,1.8,0.05,-0.02,204.4,13.6,137.0,1.0,3.0,1651.0,705.0,2019.0,4.0,2093.0,17.08,1876.3,1172.0,31.5,33.5,1.4,2.7,2067.6,0.0,16.83,11.3,101.4,98.3,103.7,99.5,100.0,102.2,70.4,90.0,65.9,65.3,31.0,37.0,22.8,26.7,43.0,43.0,45.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,26.0,26.0,42.0,42.0,46.0,37.0,37.0,39.0,44.89,44.63,45.11,55.0,560.0,5.9,0.0,0.0,0.0
17.09,280.0,8.46,8.5,8.47,14.0,13.0,14.0,17.79,-0.2,0.23,-0.12,204.7,10.9,138.0,1.0,3.0,1747.0,703.0,2129.0,3.0,2209.0,17.27,2006.4,1221.0,32.4,35.0,1.4,2.7,2180.0,0.0,17.0,11.2,101.0,97.8,103.1,99.1,99.8,101.8,70.5,89.9,65.9,65.4,31.0,37.0,22.8,26.7,44.0,44.0,45.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,26.0,26.0,26.0,42.0,42.0,46.0,37.0,37.0,39.0,44.89,44.63,45.11,55.0,560.0,5.9,0.0,0.0,0.0
17.18,264.0,8.27,8.31,8.28,12.0,11.0,10.0,17.84,-2.3,0.26,-0.02,204.4,12.6,139.0,1.0,3.0,1746.0,704.0,2130.0,6.0,2214.0,17.32,2006.8,1221.0,31.7,34.7,1.5,2.7,2180.0,0.0,17.0,11.2,101.0,97.9,103.2,99.2,99.7,101.9,70.4,89.8,65.9,65.4,31.0,37.0,22.8,26.7,44.0,44.0,45.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,27.0,26.0,42.0,42.0,47.0,37.0,37.0,39.0,44.89,44.63,45.12,55.0,560.0,5.9,0.0,0.0,0.0
17.03,304.0,9.46,9.51,9.48,13.0,10.0,11.0,17.9,-9.9,0.11,0.03,204.5,14.6,140.0,1.0,3.0,1669.0,704.0,2037.0,1.0,2120.0,17.29,1948.5,1159.0,31.2,33.9,1.4,2.7,2080.0,0.0,16.83,11.2,101.2,98.2,103.4,99.3,99.9,102.1,70.5,89.9,65.8,65.3,30.0,37.0,22.8,26.7,43.0,44.0,45.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,27.0,26.0,42.0,42.0,46.0,37.0,37.0,39.0,44.89,44.63,45.12,55.0,560.0,5.9,0.0,0.0,0.0
16.92,224.0,8.55,8.59,8.56,11.0,10.0,11.0,17.47,-7.0,0.12,-0.05,204.4,13.5,140.0,1.0,3.0,1650.0,704.0,2013.0,4.0,2085.0,17.04,1875.2,1168.0,33.0,35.5,1.4,2.7,2067.6,0.0,16.83,11.2,100.9,97.9,103.1,99.1,99.6,101.8,70.5,89.7,65.9,65.5,31.0,37.0,22.8,26.5,44.0,45.0,45.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,27.0,26.0,42.0,42.0,46.0,37.0,37.0,39.0,44.89,44.63,45.11,55.0,560.0,5.9,0.0,0.0,0.0
16.78,208.0,9.31,9.35,9.33,17.0,13.0,12.0,17.43,-4.8,0.14,0.05,204.3,14.3,138.0,1.0,3.0,1643.0,702.0,2001.0,-5.0,2078.0,16.86,1876.7,1174.0,32.3,35.1,1.5,2.8,2067.6,0.0,16.83,11.2,101.0,97.9,103.2,99.4,99.8,101.8,70.3,89.9,65.9,65.4,31.0,37.0,22.8,26.7,44.0,44.0,45.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,27.0,26.0,42.0,42.0,46.0,37.0,37.0,39.0,44.89,44.63,45.11,55.0,560.0,5.9,0.0,0.0,0.0
17.15,328.0,9.31,9.34,9.31,12.0,14.0,17.0,17.82,-4.1,0.21,0.01,204.4,14.5,138.0,1.0,3.0,1655.0,703.0,2018.0,0.0,2095.0,17.36,1866.8,1153.0,34.7,37.1,1.5,2.7,2067.6,0.0,16.83,11.2,100.9,97.6,103.0,99.2,99.6,101.6,70.2,89.7,65.8,65.5,32.0,37.0,22.8,26.5,45.0,46.0,45.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,27.0,27.0,26.0,42.0,42.0,47.0,37.0,37.0,39.0,44.89,44.63,45.12,55.0,560.0,5.9,0.0,0.0,0.0
